"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13101","東京都","千代田区","一番町","半蔵門","2",130000000,"","２ＬＤＫ","85",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",80,500,"2021年第３四半期","未改装",""
2,"宅地(土地と建物)","商業地","13101","東京都","千代田区","岩本町","岩本町","2",500000000,"","","110",,"長方形","5.9","750","平成21年","鉄骨造","共同住宅、事務所","事務所","南","区道",15.0,"商業地域",80,500,"2021年第３四半期","",""
3,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",34000000,"","１ＬＤＫ","35",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
4,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","2",29000000,"","１Ｋ","20",,"","","","平成18年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
5,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",42000000,"","１ＤＫ","30",,"","","","平成30年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
6,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",29000000,"","１Ｋ","30",,"","","","平成12年","ＳＲＣ","","事務所","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
7,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","2",30000000,"","１Ｋ","20",,"","","","平成18年","ＳＲＣ","住宅","その他","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
8,"中古マンション等","","13101","東京都","千代田区","岩本町","神田(東京)","6",31000000,"","１Ｋ","25",,"","","","平成26年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
9,"宅地(土地と建物)","商業地","13101","東京都","千代田区","岩本町","小伝馬町","4",200000000,"","","75",,"長方形","7.1","240","昭和45年","ＲＣ","その他","店舗","北西","区道",8.0,"商業地域",80,600,"2021年第３四半期","",""
10,"中古マンション等","","13101","東京都","千代田区","内神田","大手町(東京)","5",120000000,"","３ＬＤＫ","70",,"","","","平成31年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
11,"中古マンション等","","13101","東京都","千代田区","内神田","小川町(東京)","4",72000000,"","２ＤＫ","55",,"","","","平成25年","ＲＣ","","住宅","","",,"商業地域",80,800,"2021年第３四半期","未改装",""
12,"中古マンション等","","13101","東京都","千代田区","神田和泉町","浅草橋","6",57000000,"","２ＬＤＫ","50",,"","","","平成12年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
13,"中古マンション等","","13101","東京都","千代田区","神田神保町","神保町","1",77000000,"","２ＬＤＫ","50",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
14,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田駿河台","新御茶ノ水","0",930000000,"","","115",,"ほぼ台形","16.1","690","平成14年","鉄骨造","事務所、店舗","事務所","西","都道",27.0,"商業地域",80,600,"2021年第３四半期","",""
15,"中古マンション等","","13101","東京都","千代田区","神田錦町","小川町(東京)","4",26000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
16,"中古マンション等","","13101","東京都","千代田区","神田錦町","小川町(東京)","5",84000000,"","２ＬＤＫ","55",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
17,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田練塀町","秋葉原","3",1700000000,"","","230",,"ほぼ正方形","15.0","980","昭和42年","ＲＣ","住宅、店舗","店舗","南","区道",8.0,"商業地域",80,800,"2021年第３四半期","",""
18,"中古マンション等","","13101","東京都","千代田区","神田三崎町","水道橋","3",25000000,"","１ＤＫ","30",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
19,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田美土代町","小川町(東京)","2",45000000,"","","45",,"ほぼ長方形","5.0","75","昭和49年","鉄骨造","住宅、駐車場","その他","西","区道",4.0,"商業地域",80,600,"2021年第３四半期","","私道を含む取引"
20,"中古マンション等","","13101","東京都","千代田区","九段北","九段下","1",97000000,"","オープンフロア","90",,"","","","昭和55年","ＳＲＣ","","店舗","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
21,"中古マンション等","","13101","東京都","千代田区","九段南","市ケ谷","7",25000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
22,"中古マンション等","","13101","東京都","千代田区","九段南","市ケ谷","2",100000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
23,"中古マンション等","","13101","東京都","千代田区","外神田","御茶ノ水","4",28000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
24,"中古マンション等","","13101","東京都","千代田区","外神田","末広町(東京)","4",58000000,"","２ＬＤＫ","45",,"","","","平成10年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
25,"中古マンション等","","13101","東京都","千代田区","東神田","浅草橋","4",13000000,"","１Ｒ","25",,"","","","昭和55年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
26,"中古マンション等","","13101","東京都","千代田区","東神田","浅草橋","1",110000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
27,"中古マンション等","","13101","東京都","千代田区","平河町","麹町","4",110000000,"","２ＤＫ","95",,"","","","昭和54年","ＳＲＣ","","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","改装済",""
28,"中古マンション等","","13102","東京都","中央区","入船","新富町(東京)","2",25000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
29,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",150000000,"","３ＬＤＫ","110",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
30,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",83000000,"","２ＬＤＫ","65",,"","","","平成28年","ＲＣ","","住宅","","",,"第１種住居地域",60,400,"2021年第３四半期","未改装",""
31,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","5",29000000,"","１Ｋ","20",,"","","","平成14年","ＲＣ","住宅","その他","","",,"第２種住居地域",80,400,"2021年第３四半期","未改装",""
32,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","4",27000000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","","住宅","","",,"第２種住居地域",80,400,"2021年第３四半期","改装済",""
33,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","5",43000000,"","２ＬＤＫ","50",,"","","","昭和55年","ＳＲＣ","","住宅","","",,"第２種住居地域",80,400,"2021年第３四半期","改装済",""
34,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","0",17000000,"","","20",,"","","","昭和56年","ＳＲＣ","","","","",,"商業地域",80,600,"2021年第３四半期","",""
35,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",64000000,"","２ＬＤＫ","60",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
36,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",87000000,"","３ＬＤＫ","75",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
37,"中古マンション等","","13102","東京都","中央区","銀座","築地市場","3",57000000,"","１ＬＤＫ","35",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
38,"中古マンション等","","13102","東京都","中央区","銀座","築地市場","3",34000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
39,"宅地(土地と建物)","商業地","13102","東京都","中央区","新川","茅場町","4",340000000,"","","110",,"ほぼ長方形","8.7","50","平成4年","鉄骨造","駐車場、その他","住宅","南西","区道",8.0,"商業地域",80,500,"2021年第３四半期","",""
40,"宅地(土地)","商業地","13102","東京都","中央区","新川","茅場町","4",570000000,"9800000","","190",3000000,"ほぼ長方形","13.0","","","","","事務所","北東","区道",8.0,"商業地域",80,700,"2021年第３四半期","",""
41,"中古マンション等","","13102","東京都","中央区","新川","茅場町","8",14000000,"","１Ｋ","20",,"","","","昭和49年","ＳＲＣ","住宅","","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
42,"宅地(土地と建物)","商業地","13102","東京都","中央区","新川","八丁堀(東京)","4",810000000,"","","110",,"ほぼ長方形","9.3","570","令和3年","ＲＣ","事務所、店舗","事務所","南東","区道",6.0,"商業地域",80,500,"2021年第３四半期","",""
43,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","7",73000000,"","２ＬＤＫ","60",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
44,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","4",45000000,"","１ＬＤＫ","40",,"","","","平成18年","ＲＣ","住宅","事務所","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
