col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
39	40	宅地(土地)	商業地	13102	東京都	中央区	新川	茅場町	4	570000000	9800000.0		190	3000000.0	ほぼ長方形	13.0					事務所	北東	区道	8.0	商業地域	80.0	700.0	2021年第３四半期		
56	57	宅地(土地)	住宅地	13102	東京都	中央区	月島	月島	3	54000000	3100000.0		60	930000.0	ほぼ長方形	6.0					住宅	北東	私道	2.7	第２種住居地域	80.0	400.0	2021年第３四半期		私道を含む取引
119	120	宅地(土地)	商業地	13103	東京都	港区	赤坂	赤坂(東京)	1	1300000000	34000000.0		125	10000000.0	長方形	7.5					その他	南東	都道	15.0	商業地域	80.0	600.0	2021年第３四半期		
141	142	宅地(土地)	商業地	13103	東京都	港区	芝	三田(東京)	4	840000000	22000000.0		130	6500000.0	長方形	6.5						北	区道	10.4	商業地域	80.0	500.0	2021年第３四半期		
161	162	宅地(土地)	住宅地	13103	東京都	港区	白金	白金高輪	11	73000000	5300000.0		45	1600000.0	ほぼ整形	4.6					住宅	東	区道	4.0	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
199	200	宅地(土地)	商業地	13103	東京都	港区	東新橋	汐留	3	420000000	18000000.0		75	5500000.0	不整形	7.9					事務所	北西	区道	12.0	商業地域	80.0	700.0	2021年第３四半期		
224	225	宅地(土地)	住宅地	13104	東京都	新宿区	愛住町	四谷三丁目	1	90000000	4500000.0		65	1400000.0	ほぼ正方形	8.2					住宅	西	区道	5.5	第１種住居地域	60.0	400.0	2021年第３四半期		
236	237	宅地(土地)	住宅地	13104	東京都	新宿区	大久保	東新宿	7	28000000	2500000.0		35	750000.0	ほぼ長方形	4.1					住宅	南	私道	4.0	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		私道を含む取引
250	251	宅地(土地)	住宅地	13104	東京都	新宿区	河田町	若松河田	4	87000000	2700000.0		105	830000.0	不整形	3.0					住宅	北	区道	3.1	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
284	285	宅地(土地)	住宅地	13104	東京都	新宿区	水道町	神楽坂	5	75000000	4100000.0		60	1200000.0	長方形	4.4					住宅	西	私道	3.0	準工業地域	60.0	300.0	2021年第３四半期		私道を含む取引
285	286	宅地(土地)	住宅地	13104	東京都	新宿区	須賀町	四谷三丁目	5	110000000	4600000.0		75	1400000.0	ほぼ長方形	4.1					住宅	西	区道	4.9	第１種住居地域	60.0	300.0	2021年第３四半期		
286	287	宅地(土地)	住宅地	13104	東京都	新宿区	須賀町	四谷三丁目	5	76000000	5300000.0		45	1600000.0	長方形	4.3					住宅	南	私道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		
287	288	宅地(土地)	住宅地	13104	東京都	新宿区	須賀町	四谷三丁目	6	75000000	5100000.0		50	1500000.0	ほぼ長方形	4.5					住宅	南	私道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		
303	304	宅地(土地)	住宅地	13104	東京都	新宿区	富久町	若松河田	7	500000000	2900000.0		570	870000.0	ほぼ長方形	13.5					その他	北東	区道	4.5	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
311	312	宅地(土地)	住宅地	13104	東京都	新宿区	中落合	下落合	8	100000000	2100000.0		165	630000.0	ほぼ長方形	9.7					その他	南	区道	3.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
330	331	宅地(土地)	住宅地	13104	東京都	新宿区	西落合	東長崎	8	110000000	1900000.0		200	560000.0	長方形	13.2						南	区道	6.2	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
359	360	宅地(土地)	商業地	13101	東京都	千代田区	岩本町	岩本町	3	380000000	13000000.0		95	4000000.0	ほぼ整形	7.0						南	都道	35.9	商業地域	80.0	700.0	2021年第３四半期		
389	390	宅地(土地)	住宅地	13104	東京都	新宿区	百人町	新大久保	4	94000000	3100000.0		100	930000.0	ほぼ長方形	8.0					住宅	東	区道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		私道を含む取引
419	420	宅地(土地)	住宅地	13104	東京都	新宿区	若葉	四ツ谷	5	230000000	4400000.0		170	1300000.0	不整形	9.1						南	区道	2.7	第１種住居地域	60.0	300.0	2021年第３四半期		
420	421	宅地(土地)	商業地	13104	東京都	新宿区	若松町	若松河田	3	140000000	4400000.0		100	1300000.0	台形	5.0					事務所	南西	都道	15.5	商業地域	80.0	500.0	2021年第３四半期		
487	488	宅地(土地)	商業地	13102	東京都	中央区	築地	築地		120000000	9500000.0		40	2900000.0	長方形	4.2					事務所	南西	区道	15.0	商業地域	80.0	700.0	2021年第４四半期		
509	510	宅地(土地)	住宅地	13102	東京都	中央区	月島	月島	5	160000000	6200000.0		85	1900000.0	ほぼ正方形	8.5					店舗	南東	区道	5.5	第２種住居地域	80.0	400.0	2021年第３四半期		
544	545	宅地(土地)	住宅地	13105	東京都	文京区	千駄木	本駒込	6	120000000	4600000.0		90	1400000.0	ほぼ長方形	5.3					住宅	南西	区道	4.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
545	546	宅地(土地)	住宅地	13105	東京都	文京区	千駄木	本駒込	7	23000000	1800000.0		40	560000.0	台形	7.0					その他	北西	区道	2.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
